"registry__name","label","reference"
"application","vnd.dvb.ipdcdftnotifaccess","[Roy_Yue]"
"application","vnd.dvb.ipdcesgaccess","[Joerg_Heuer]"
"application","vnd.dvb.ipdcesgaccess2","[Jerome_Marcon]"
"application","vnd.dvb.ipdcesgpdd","[Jerome_Marcon]"
"application","vnd.dvb.ipdcroaming","[Yiling_Xu]"
"application","vnd.dvb.iptv.alfec-base","[Jean-Baptiste_Henry]"
"application","vnd.dvb.iptv.alfec-enhancement","[Jean-Baptiste_Henry]"
"application","vnd.dvb.notif-aggregate-root+xml","[Roy_Yue]"
"application","vnd.dvb.notif-container+xml","[Roy_Yue]"
"application","vnd.dvb.notif-generic+xml","[Roy_Yue]"
"application","vnd.dvb.notif-ia-msglist+xml","[Roy_Yue]"
"application","vnd.dvb.notif-ia-registration-request+xml","[Roy_Yue]"
"application","vnd.dvb.notif-ia-registration-response+xml","[Roy_Yue]"
"application","vnd.dvb.notif-init+xml","[Roy_Yue]"
"application","vnd.dvb.pfr","[Peter_Siebert][Michael_Lagally]"
"application","vnd.dvb.service","[Peter_Siebert][Michael_Lagally]"
"application","vnd.dxr","[Michael_Duffy]"
"application","vnd.dynageo","[Roland_Mechling]"
"application","vnd.dzr","[Carl_Anderson]"
"application","vnd.easykaraoke.cdgdownload","[Iain_Downs]"
"application","vnd.ecdis-update","[Gert_Buettgenbach]"
"application","vnd.ecowin.chart","[Thomas_Olsson]"
"application","vnd.ecowin.filerequest","[Thomas_Olsson]"
"application","vnd.ecowin.fileupdate","[Thomas_Olsson]"
"application","vnd.ecowin.series","[Thomas_Olsson]"
"application","vnd.ecowin.seriesrequest","[Thomas_Olsson]"
"application","vnd.ecowin.seriesupdate","[Thomas_Olsson]"
"application","vnd.emclient.accessrequest+xml","[Filip_Navara]"
"application","vnd.enliven","[Paul_Santinelli_Jr.]"
"application","vnd.enphase.envoy","[Chris_Eich]"
"application","vnd.eprints.data+xml","[Tim_Brody]"
"application","vnd.epson.esf","[Shoji_Hoshina]"
"application","vnd.epson.msf","[Shoji_Hoshina]"
"application","vnd.epson.quickanime","[Yu_Gu]"
"application","vnd.epson.salt","[Yasuhito_Nagatomo]"
"application","vnd.epson.ssf","[Shoji_Hoshina]"
"application","vnd.ericsson.quickcall","[Paul_Tidwell]"
"application","vnd.eszigno3+xml","[Szilveszter_TÃ³th]"
"application","vnd.etsi.aoc+xml","[Shicheng_Hu]"
"application","vnd.etsi.asic-s+zip","[Miguel_Angel_Reina_Ortega]"
"application","vnd.etsi.asic-e+zip","[Miguel_Angel_Reina_Ortega]"
"application","vnd.etsi.cug+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvcommand+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvdiscovery+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvprofile+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvsad-bc+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvsad-cod+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvsad-npvr+xml","[Shicheng_Hu]"
"application","vnd.etsi.iptvservice+xml","[Miguel_Angel_Reina_Ortega]"
"application","vnd.etsi.iptvsync+xml","[Miguel_Angel_Reina_Ortega]"
"application","vnd.etsi.iptvueprofile+xml","[Shicheng_Hu]"
"application","vnd.etsi.mcid+xml","[Shicheng_Hu]"
"application","vnd.etsi.mheg5","[Miguel_Angel_Reina_Ortega][Ian_Medland]"
"application","vnd.etsi.overload-control-policy-dataset+xml","[Miguel_Angel_Reina_Ortega]"
"application","vnd.etsi.pstn+xml","[Jiwan_Han][Thomas_Belling]"
"application","vnd.etsi.sci+xml","[Shicheng_Hu]"
"application","vnd.etsi.simservs+xml","[Shicheng_Hu]"
"application","vnd.etsi.timestamp-token","[Miguel_Angel_Reina_Ortega]"
"application","vnd.etsi.tsl+xml","[Shicheng_Hu]"
"application","vnd.etsi.tsl.der","[Shicheng_Hu]"
"application","vnd.eudora.data","[Pete_Resnick]"
"application","vnd.ezpix-album","[ElectronicZombieCorp]"
"application","vnd.ezpix-package","[ElectronicZombieCorp]"
"application","vnd.f-secure.mobile","[Samu_Sarivaara]"
"application","vnd.fdf","[Steve_Zilles]"
"application","vnd.fdsn.mseed","[Chad_Trabant]"
"application","vnd.fdsn.seed","[Chad_Trabant]"
"application","vnd.ffsns","[Holstage]"
"application","vnd.fints","[Ingo_Hammann]"
"application","vnd.FloGraphIt","[Dick_Floersch]"
"application","vnd.fluxtime.clip","[Marc_Winter]"
"application","vnd.font-fontforge-sfd","[George_Williams]"
"application","vnd.framemaker","[Mike_Wexler]"
"application","vnd.frogans.fnc","[Alexis_Tamas]"
"application","vnd.frogans.ltf","[Alexis_Tamas]"
